"Geslacht","Leeftijd","Perioden","Personen in particuliere huishoudens Thuiswonend kind (aantal)","Personen in particuliere huishoudens Samenwonend
Partner in gehuwd paar zonder kinderen (aantal)","Samenwonend Partner in niet-gehuwd paar met kinderen (aantal)","Samenwonend Partner in gehuwd paar met kinderen (aantal)"
"Totaal mannen en vrouwen","Totaal","2021","4.637.308","3.340.610","915.288","3.126.714"
"Totaal mannen en vrouwen","0 jaar","2021","164.808","","",""
"Totaal mannen en vrouwen","1 jaar","2021","167.057","","",""
"Totaal mannen en vrouwen","2 jaar","2021","167.413","","",""
"Totaal mannen en vrouwen","3 jaar","2021","169.620","","",""
"Totaal mannen en vrouwen","4 jaar","2021","173.077","","",""
"Totaal mannen en vrouwen","5 jaar","2021","172.483","","",""
"Totaal mannen en vrouwen","6 jaar","2021","177.227","","",""
"Totaal mannen en vrouwen","7 jaar","2021","173.975","","",""
"Totaal mannen en vrouwen","8 jaar","2021","178.710","","",""
"Totaal mannen en vrouwen","9 jaar","2021","182.412","","",""
"Totaal mannen en vrouwen","10 jaar","2021","187.196","","",""
"Totaal mannen en vrouwen","11 jaar","2021","187.902","","",""
"Totaal mannen en vrouwen","12 jaar","2021","188.236","","",""
"Totaal mannen en vrouwen","13 jaar","2021","184.451","","",""
"Totaal mannen en vrouwen","14 jaar","2021","187.432","","",""
"Totaal mannen en vrouwen","15 jaar","2021","188.745","0","2","0"
"Totaal mannen en vrouwen","16 jaar","2021","193.826","0","17","0"
"Totaal mannen en vrouwen","17 jaar","2021","198.762","0","56","0"
"Totaal mannen en vrouwen","18 jaar","2021","190.333","32","179","16"
"Totaal mannen en vrouwen","19 jaar","2021","178.891","158","376","97"
"Totaal mannen en vrouwen","20 jaar","2021","167.465","448","674","265"
"Totaal mannen en vrouwen","21 jaar","2021","147.094","1.266","1.156","643"
"Totaal mannen en vrouwen","22 jaar","2021","128.421","2.521","1.716","1.485"
"Totaal mannen en vrouwen","23 jaar","2021","105.122","4.412","2.670","2.675"
"Totaal mannen en vrouwen","24 jaar","2021","85.536","6.836","4.055","4.700"
"Totaal mannen en vrouwen","25 jaar","2021","67.459","9.006","5.896","7.860"
"Totaal mannen en vrouwen","26 jaar","2021","53.764","11.934","8.280","12.398"
"Totaal mannen en vrouwen","27 jaar","2021","41.154","14.134","11.109","18.079"
"Totaal mannen en vrouwen","28 jaar","2021","32.424","16.289","14.820","25.277"
