sep=,
,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,0,0,0,0,0,0,0,0,0,0
1,0,10,10,0,10,0,0,0,0,0
2,0,25,25,0,25,0,0,0,0,0
3,0,45,45,0,44,0,0,0,0,0
4,0,60,60,0,58,0,0,0,0,0
5,0,70,70,0,66,0,0,0,0,0
6,0,85,85,0,80,0,0,0,0,0
7,0,105,105,0,98,0,0,0,0,0
8,0,120,120,0,112,0,0,0,0,0
9,0,130,130,0,120,0,0,0,0,0
10,0,145,145,0,135,0,0,0,0,0
11,0,165,165,0,153,0,0,0,0,0
12,0,180,171,0,167,1,9,0,0,0
13,0,190,167,0,175,2,23,0,0,0
14,0,205,163,0,187,3,42,0,0,0
15,0,225,171,0,204,6,54,0,0,0
16,0,240,176,0,215,6,64,0,0,0
17,0,250,173,0,222,8,77,0,0,0
18,0,265,168,0,237,8,97,0,0,0
19,0,285,172,0,254,7,113,0,0,0
20,0,300,178,0,266,8,121,0,0,1
21,0,617,479,0,545,7,137,0,0,1
22,0,881,721,0,774,5,159,0,0,1
23,0,1168,993,0,1034,5,174,0,0,1
24,0,1429,1242,0,1267,3,186,0,0,1
25,0,1668,1467,0,1479,4,200,0,0,1
26,0,1907,1689,0,1691,7,217,0,0,1
27,0,2142,1908,0,1901,6,232,0,0,2
28,0,2366,2123,0,2103,7,241,0,0,2
29,0,2559,2300,0,2272,6,257,0,0,2
30,0,2797,2519,0,2485,7,276,0,0,2
31,0,3047,2754,0,2717,7,291,0,0,2
32,0,3286,2703,0,2905,34,581,0,0,2
33,0,3500,2669,0,3082,50,829,0,0,2
34,0,3736,2631,0,3282,63,1102,0,0,3
35,0,3943,2583,0,3461,69,1357,0,0,3
36,0,4176,2589,0,3657,81,1584,0,0,3
37,0,4376,2561,0,3820,92,1812,0,0,3
38,0,4618,2583,0,4033,107,2032,0,0,3
39,0,4827,2551,0,4210,90,2268,0,0,8
40,0,5059,2579,0,4412,79,2466,0,0,14
41,0,5272,2553,0,4592,78,2699,0,0,20
42,0,5593,2627,0,4864,81,2944,0,0,22
43,0,5823,2615,0,5051,78,3181,0,0,27
44,0,6095,2674,0,5290,79,3391,0,0,30
45,0,6347,2680,0,5506,69,3632,0,0,35
46,0,6619,2738,0,5751,62,3842,0,0,39
47,0,6862,2750,0,5954,64,4071,0,0,41
48,0,7118,2802,0,6170,60,4271,0,0,45
49,0,7468,2910,0,6477,60,4512,0,0,46
50,0,7794,3023,0,6755,56,4723,0,0,48
51,0,8118,3106,0,7034,47,4962,0,0,50
52,0,8424,3202,0,7305,50,5172,0,0,50
53,0,8724,3180,0,7569,49,5494,0,0,50
54,0,9059,3277,0,7873,41,5728,0,0,54
55,0,9392,3332,0,8171,35,6004,0,0,56
56,0,9791,3474,0,8520,30,6258,0,0,59
57,0,10139,3548,0,8819,28,6529,0,0,62
58,0,10516,3680,0,9155,26,6771,0,0,65
59,0,10876,3779,0,9480,21,7028,0,0,69
60,0,11208,3769,0,9775,29,7370,0,0,69
61,0,11558,3793,0,10088,29,7695,0,0,70
62,0,11895,3805,0,10396,28,8019,0,0,71
63,0,12380,3980,0,10825,24,8327,0,0,73
64,0,12720,4021,0,11125,25,8626,0,0,73
65,0,13032,3997,0,11400,24,8962,0,0,73
66,0,13360,3993,0,11686,25,9293,0,0,74
67,0,13689,3918,0,11984,20,9692,0,0,79
68,0,13985,3865,0,12257,19,10039,0,0,81
69,0,14243,3747,0,12483,20,10414,0,0,82
70,0,14633,3779,0,12834,22,10772,0,0,82
71,0,14874,3687,0,13045,21,11104,0,0,83
72,0,15133,3597,0,13271,22,11453,0,0,83
