,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84246,304,304,0,0,0,0,15450,0,0
1,83524,328,328,0,0,0,0,16148,0,0
2,82809,347,347,0,0,0,0,16845,1,0
3,82090,369,369,0,0,0,0,17543,2,0
4,81380,384,384,0,0,0,0,18239,3,0
5,80657,410,409,0,0,0,0,18936,2,0
6,79931,438,436,30,298,0,0,19634,1,0
7,79221,450,447,34,312,0,0,20333,1,0
8,78498,475,472,36,331,0,0,21031,1,0
9,77777,500,497,37,344,0,0,21727,1,0
10,77061,520,516,39,368,0,0,22425,2,0
11,76338,546,542,43,392,0,0,23122,2,0
12,75623,562,558,44,402,0,0,23821,2,0
13,74904,585,268,14,129,17,311,24517,0,0
14,74191,604,269,11,139,17,329,25211,0,0
15,73471,628,272,9,138,17,350,25908,1,0
16,72754,649,279,13,146,17,364,26604,1,0
17,72033,672,276,13,136,17,390,27302,1,0
18,71319,692,267,12,132,17,418,27997,1,0
19,70600,712,276,13,139,17,429,28696,1,0
20,69887,729,251,16,134,0,462,29392,1,9
21,69174,744,240,18,128,0,487,30090,0,9
22,68458,760,238,20,131,0,505,30790,0,9
23,67755,769,221,17,127,0,531,31484,0,9
24,67034,795,231,17,131,0,547,32180,1,9
25,66317,812,225,14,128,0,570,32880,1,9
26,65607,826,220,14,124,0,589,33577,2,9
27,64895,844,214,11,120,0,612,34271,1,9
28,64188,860,209,10,109,0,633,34962,1,9
29,63480,871,196,12,109,0,656,35659,0,9
30,62778,880,186,15,104,0,675,36354,2,9
31,62075,890,176,14,98,0,695,37047,2,9
32,61361,911,180,16,97,0,712,37741,3,9
33,60649,926,178,15,99,0,727,38438,1,9
34,59938,944,180,17,92,0,743,39132,2,9
35,59227,957,183,16,91,0,752,39830,1,9
36,58516,973,174,16,76,0,777,40525,1,9
37,57805,989,172,12,83,0,794,41221,1,9
38,57095,1003,173,14,83,0,807,41918,2,9
39,56392,1014,166,12,84,0,825,42611,3,9
40,55684,1029,164,11,82,0,841,43305,3,9
41,54977,1041,164,12,86,0,852,44000,2,9
42,54275,1049,164,12,94,0,859,44698,2,9
