,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,70.0,70.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
6,0.0,85.0,85.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
7,0.0,105.0,105.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
8,0.0,120.0,120.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0
9,0.0,130.0,130.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
10,0.0,145.0,145.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0
11,0.0,165.0,165.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0
12,0.0,180.0,170.0,0.0,107.0,0.0,10.0,0.0,0.0,0.0
13,0.0,190.0,166.0,0.0,115.0,1.0,24.0,0.0,0.0,0.0
14,0.0,205.0,162.0,0.0,127.0,2.0,43.0,0.0,0.0,0.0
15,0.0,225.0,168.0,0.0,143.0,3.0,57.0,0.0,0.0,0.0
16,0.0,240.0,173.0,0.0,157.0,3.0,67.0,0.0,0.0,0.0
17,0.0,250.0,169.0,0.0,166.0,4.0,81.0,0.0,0.0,0.0
18,0.0,265.0,165.0,0.0,179.0,5.0,100.0,0.0,0.0,0.0
19,0.0,285.0,171.0,0.0,195.0,6.0,114.0,0.0,0.0,0.0
20,0.0,300.0,176.0,0.0,207.0,6.0,123.0,0.0,0.0,1.0
