,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84236,306,306,0,0,0,0,15458,0,0
1,83514,331,331,0,0,0,0,16155,0,0
2,82796,355,355,0,0,0,0,16851,2,0
3,82074,382,382,0,0,0,0,17549,5,0
4,81353,409,409,0,0,0,0,18246,8,0
5,80634,429,427,0,0,0,0,18945,6,0
6,79906,459,454,32,299,0,0,19643,3,0
7,79188,479,471,34,319,0,0,20341,0,0
8,78476,497,489,36,341,0,0,21036,1,0
9,77766,513,505,42,359,0,0,21731,2,0
10,77059,525,517,44,377,0,0,22426,2,0
11,76347,544,535,45,406,0,0,23120,2,0
12,75637,560,550,46,425,0,0,23815,2,0
13,74930,572,244,15,142,13,318,24511,3,0
14,74220,590,239,15,135,13,340,25205,4,0
15,73514,599,224,14,124,14,363,25902,3,0
16,72809,608,208,9,123,14,387,26598,2,0
17,72100,621,199,8,119,14,407,27294,0,0
18,71395,629,177,7,101,14,437,27991,0,0
19,70694,637,165,6,98,14,457,28684,0,0
20,69992,647,145,7,89,1,483,29376,0,4
21,69287,659,142,8,82,1,498,30070,1,4
22,68581,668,138,9,82,0,511,30767,1,4
23,67874,680,132,8,73,0,529,31463,2,4
24,67166,692,128,9,65,0,544,32159,1,4
25,66458,708,133,9,64,0,555,32853,3,4
26,65751,720,129,9,59,1,570,33548,2,4
27,65046,727,127,9,59,1,579,34246,2,4
28,64340,739,128,7,63,1,588,34940,0,4
29,63641,747,123,5,64,1,601,35631,0,4
30,62939,755,123,5,70,1,609,36326,1,4
31,62231,766,126,7,72,1,617,37023,1,4
32,61523,776,126,8,68,1,627,37721,1,4
33,60813,790,127,8,69,0,639,38417,0,4
34,60113,799,127,7,69,0,648,39109,1,4
35,59410,807,124,6,66,0,659,39804,1,4
36,58705,815,120,9,62,0,671,40501,1,4
37,58002,825,115,11,56,0,685,41194,0,4
38,57299,834,112,8,61,0,697,41890,2,4
39,56597,842,113,7,63,0,704,42585,3,4
40,55884,858,117,9,57,0,716,43282,3,4
41,55180,867,116,8,58,0,724,43980,1,4
42,54474,880,121,9,60,0,731,44677,0,4
43,53766,893,123,9,56,0,742,45377,1,4
44,53063,900,120,9,53,0,752,46076,1,4
45,52358,912,118,10,54,0,766,46773,2,4
46,51653,918,115,13,52,0,774,47473,1,4
47,50944,931,120,11,59,0,782,48172,1,4
48,50241,943,123,11,63,0,790,48869,1,4
49,49540,947,117,13,58,0,800,49569,1,4
50,48837,954,117,10,65,0,807,50269,3,4
51,48129,968,123,8,66,0,814,50969,4,4
52,47427,971,110,7,64,0,830,51669,4,4
53,46729,974,102,5,68,0,839,52368,3,4
54,46029,979,92,5,59,0,852,53067,2,4
55,45326,986,87,5,52,0,864,53765,2,4
56,44626,992,85,3,59,0,871,54465,2,4
57,43925,997,78,3,51,0,882,55164,1,4
58,43229,998,73,3,47,0,888,55864,1,4
59,42530,1004,65,3,38,0,901,56563,1,4
60,41832,1009,59,2,35,0,912,57263,3,4
61,41131,1012,58,2,36,0,916,57963,3,4
62,40431,1017,57,4,34,0,921,58663,2,4
63,39730,1022,48,3,24,0,933,59362,0,4
64,39028,1029,52,4,25,0,936,60060,0,4
65,38325,1037,58,4,26,0,938,60759,1,4
66,37621,1043,60,3,26,0,942,61459,1,4
67,36919,1047,57,5,22,0,949,62159,2,4
68,36219,1053,57,6,21,0,954,62858,1,4
69,35518,1058,57,4,25,0,959,63558,1,4
70,34811,1069,66,4,31,0,960,64257,2,4
71,34106,1077,69,4,32,0,965,64956,2,4
72,33401,1083,72,4,32,0,968,65656,2,4
73,32697,1088,72,7,32,0,971,66356,0,4
74,31992,1097,76,5,34,0,976,67055,0,4
75,31288,1103,77,4,39,0,981,67755,0,4
76,30585,1109,76,4,40,0,988,68454,0,4
77,29883,1115,75,6,37,0,995,69153,0,4
78,29179,1122,76,5,37,0,1001,69853,0,4
79,28468,1136,87,5,43,0,1004,70553,0,4
80,27764,1145,90,3,45,0,1010,71252,1,4
81,27059,1152,92,3,46,0,1015,71952,2,4
82,26351,1165,96,4,42,0,1024,72652,3,4
83,25645,1172,94,4,41,0,1032,73352,3,4
84,24941,1180,95,4,49,0,1038,74052,3,4
85,24238,1184,93,7,49,0,1043,74752,3,4
86,23528,1197,96,7,46,0,1052,75452,3,4
87,22825,1203,95,6,53,0,1058,76152,2,4
88,22114,1215,100,7,52,0,1064,76852,2,4
89,21407,1229,107,7,53,0,1070,77552,2,4
